Frame,ROI1_Vimentin_Intensity,ROI1_FAK_Intensity,ROI1_FAK_Area_Pixels,ROI1_Norm_Vimentin,ROI1_Norm_FAK
0,7.2508274231678485,9.183806146572104,1541,0.3433833407971339,0.5360161160132184
1,7.346690307328605,9.222931442080379,1566,0.347923197492163,0.5382996778177153
2,7.056973995271868,9.28983451536643,1481,0.3342028660994178,0.542204499513622
3,6.621394799054373,7.726241134751773,1331,0.3135747872816838,0.4509448150728877
4,7.199763593380615,8.1548463356974,1382,0.34096506941334526,0.4759605102484322
5,7.448817966903073,8.628605200945627,1440,0.3527597402597402,0.5036116151198008
6,7.552836879432624,9.166193853427895,1456,0.35768584863412445,0.5349881682522818
7,7.783451536643026,9.304491725768322,1548,0.36860725481415135,0.5430599728180256
8,7.864775413711584,9.1548463356974,1463,0.3724585759068518,0.5343258663391952
9,7.510874704491726,9.60579196217494,1561,0.35569861173309447,0.560645468406129
10,7.257683215130023,9.59645390070922,1634,0.3437080161218092,0.5601004491234848
11,7.443617021276595,9.844208037825059,1763,0.352513434841021,0.5745607075592104
12,7.763238770685579,9.48581560283688,1689,0.36765002239140165,0.5536430054708897
13,7.6221040189125295,9.906028368794326,1852,0.36096618898343036,0.5781688731898805
14,7.894089834515366,9.667966903073285,1711,0.37384684281236,0.5642743309715831
15,8.004964539007092,9.450118203309692,1664,0.3790976265114196,0.5515595140359713
16,8.2677304964539,9.68144208037825,1680,0.39154164800716523,0.5650608144933735
17,8.16241134751773,8.916193853427895,1661,0.3865539632781012,0.5203968292295911
18,8.529905437352246,9.049881796690308,1672,0.4039576802507837,0.5281995736431435
19,8.764539007092198,9.717612293144208,1797,0.41506941334527536,0.5671719018413374
20,8.807328605200945,9.853309692671395,1829,0.41709583519928345,0.5750919288853321
21,8.209810874704491,9.710992907801419,1777,0.38879870129870125,0.5667855590587034
22,7.740189125295508,10.05614657210402,1853,0.36655844155844153,0.5869305755817563
23,7.81903073286052,9.98758865248227,1920,0.3702922077922078,0.582929168190191
24,6.9041371158392435,10.616548463356974,1944,0.32696484549932825,0.619638631518672
25,6.60130023640662,10.490425531914894,1932,0.3126231527093596,0.6122774217138442
26,6.93451536643026,10.430614657210402,1976,0.32840349305866545,0.6087865387136165
27,6.661229314420804,10.213829787234042,1914,0.31546126287505594,0.5961338125823565
28,7.020212765957447,10.438888888888888,1952,0.332461934617107,0.6092694671919089
29,6.673758865248227,10.863947990543736,2127,0.31605463502015224,0.6340781930196138
30,5.969267139479905,10.966666666666667,2076,0.2826914464845499,0.6400734051287005
31,4.972104018912529,10.965248226950354,2111,0.23546798029556648,0.6399906173895646
32,5.968203309692671,10.699527186761228,2024,0.282641065830721,0.6244817142581183
33,6.254846335697399,11.079078014184397,2058,0.29621585311240484,0.6466343334552153
34,6.180260047281324,10.63356973995272,1972,0.29268360949395433,0.6206320843883021
35,6.035224586288416,10.970212765957447,1894,0.2858150470219436,0.6402803744765401
36,6.553073286052009,10.652364066193853,1989,0.31033922973578143,0.6217290219318519
37,6.752482269503546,10.944208037825058,2051,0.3197828034034931,0.6387625992590497
38,6.5650118203309695,11.392553191489363,2096,0.3109046126287506,0.6649304238042346
39,6.737825059101655,11.037943262411348,2048,0.3190886699507389,0.6442334890202761
40,7.023286052009456,10.783333333333333,2058,0.33260747872816837,0.6293730898453939
41,6.9618203309692674,11.021867612293144,2113,0.32969659650694133,0.6432952279767367
42,7.240780141843971,10.940070921985816,2063,0.34290752351097176,0.6385211350199036
43,7.898936170212766,10.764302600472814,2040,0.37407635467980294,0.6282623543453215
44,7.7432624113475175,10.97565011820331,2103,0.3667039856695029,0.6405977274765607
45,7.80709219858156,11.37789598108747,2180,0.3697268248992387,0.6640749504998309
46,7.055555555555555,11.494562647754137,2176,0.3341356918943126,0.6708842420437533
47,7.178368794326241,11.218676122931441,2162,0.33995185848634124,0.6547820267818336
48,7.484397163120567,11.072458628841607,2139,0.35444469323779665,0.6462479906725814
49,7.139598108747045,11.120094562647754,2182,0.338115763546798,0.6490282789118932
50,7.218321513002364,11.467494089834515,2214,0.3418439319301388,0.6693043760219112
51,6.181323877068558,11.588888888888889,2177,0.29273399014778323,0.6763896266962862
52,6.636170212765958,11.712765957446809,2269,0.31427451858486344,0.6836197559141491
53,6.530141843971631,11.728605200945626,2288,0.3092532467532467,0.6845442190011659
54,6.823640661938534,11.943617021276596,2249,0.3231527093596059,0.6970934604585062
55,6.568676122931442,11.636643026004728,2314,0.31107814599193906,0.6791768139138594
56,5.9856973995271865,11.549290780141844,2240,0.2834695476936856,0.6740784689787442
57,6.555437352245863,12.287943262411348,2344,0.3104511867442902,0.7171901841337298
58,6.656501182033097,11.940543735224587,2277,0.3152373488580385,0.6969140870237118
59,6.866666666666666,11.9048463356974,2241,0.3251903269144648,0.6948305955887933
60,6.948108747044917,12.003191489361702,2260,0.32904724585759065,0.7005705455022111
61,7.623404255319149,12.004491725768322,2345,0.36102776533811015,0.7006464342630856
62,7.692671394799055,12.27482269503546,2292,0.364308105687416,0.7164243975467233
63,7.575531914893617,12.198936170212766,2344,0.3587606359158083,0.7119952535029562
